Arrondissement;Name;surface_in_km2
1;1 er Arrondissement:;1.83
2;2 ème Arrondissement:;0.99
3;3 ème Arrondissement:;1.17
4;4 ème Arrondissement:;1.60
5;5 ème Arrondissement:;2.54
6;6 ème Arrondissement:;2.15
7;7 ème Arrondissement:;4.09
8;8 ème Arrondissement:;3.88
9;9 ème Arrondissement:;2.18
10;10 ème Arrondissement:;2.89
11;11 ème Arrondissement:;3.67
12;12 ème Arrondissement:;16.32
13;13 ème Arrondissement:;7.15
14;14 ème Arrondissement:;5.64
15;15 ème Arrondissement:;8.48
16;16 ème Arrondissement:;16.37
17;17 ème Arrondissement:;5.67
18;18 ème Arrondissement:;6.01
19;19 ème Arrondissement:;6.79
20;20 ème Arrondissement:;5.98
